YEAR,MONTH,IPM,EMPM,HOURSM,CPI,WAGE,FFR,STOCK,VOLATBL
1962,7,25.1572,15522,40.5,30.22,2.27,2.71,54.75,19.57153
1962,8,25.2106,15517,40.5,30.28,2.28,2.93,58.23,15.79428
1962,9,25.3973,15568,40.5,30.42,2.28,2.9,59.12,18.31485
1962,10,25.344,15569,40.3,30.38,2.29,2.9,56.27,25.96716
1962,11,25.5574,15530,40.5,30.38,2.29,2.94,56.52,16.76587
1962,12,25.5841,15520,40.3,30.38,2.29,2.93,62.26,14.67781
1963,1,25.7441,15545,40.5,30.44,2.3,2.92,63.1,14.83574
1963,2,25.9576,15542,40.5,30.48,2.31,3,66.31,13.55427
1963,3,26.1176,15564,40.5,30.51,2.32,2.98,64.29,12.36615
1963,4,26.4645,15602,40.5,30.48,2.32,2.9,66.57,11.66211
1963,5,26.7046,15641,40.5,30.51,2.33,3,69.8,12.24225
1963,6,26.7846,15624,40.7,30.61,2.34,2.99,70.8,12.04036
1963,7,26.6779,15646,40.6,30.69,2.35,3.02,69.37,14.29669
1963,8,26.8113,15644,40.6,30.75,2.34,3.49,69.13,11.4839
1963,9,26.998,15674,40.6,30.72,2.36,3.48,72.5,13.0301
1963,10,27.2381,15714,40.7,30.75,2.36,3.5,71.7,13.82035
1963,11,27.3181,15675,40.7,30.78,2.37,3.48,74.01,28.66662
1963,12,27.3181,15712,40.6,30.88,2.38,3.38,73.23,11.92661
1964,1,27.5582,15715,40.1,30.94,2.38,3.48,75.02,10.68331
1964,2,27.7183,15742,40.7,30.91,2.38,3.48,77.04,9.484376
1964,3,27.7183,15770,40.6,30.94,2.38,3.43,77.8,10.17158
1964,4,28.2252,15785,40.7,30.95,2.4,3.47,78.98,12.02079
1964,5,28.3319,15812,40.8,30.98,2.4,3.5,79.46,11.84752
1964,6,28.3852,15839,40.8,31.01,2.41,3.5,80.37,13.42248
1964,7,28.6254,15887,40.8,31.02,2.41,3.42,81.69,11.22382
1964,8,28.8121,15948,40.9,31.05,2.42,3.5,83.18,13.68989
1964,9,28.9455,16073,40.9,31.08,2.44,3.45,81.83,10.51677
1964,10,28.5187,15821,40.7,31.12,2.4,3.36,84.18,11.09247
1964,11,29.3723,16096,41,31.21,2.42,3.52,84.86,12.00871
1964,12,29.9059,16176,41.2,31.25,2.44,3.85,84.42,12.87308
1965,1,30.2527,16245,41.3,31.28,2.45,3.9,84.75,10.08941
1965,2,30.4395,16291,41.3,31.28,2.46,3.98,87.56,13.63928
1965,3,30.813,16353,41.3,31.31,2.47,4.04,87.43,10.38665
1965,4,30.9997,16418,41.2,31.38,2.47,4.09,86.16,10.17376
1965,5,31.2398,16477,41.3,31.48,2.49,4.1,89.11,13.10824
1965,6,31.4265,16554,41.2,31.61,2.49,4.04,88.42,20.75682
1965,7,31.9067,16669,41.2,31.58,2.49,4.09,84.12,14.42438
1965,8,31.9334,16732,41.1,31.55,2.5,4.12,85.25,9.706133
1965,9,32.0135,16802,41.1,31.62,2.51,4.01,87.17,12.02344
1965,10,32.2803,16864,41.2,31.65,2.52,4.08,89.96,10.89089
1965,11,32.4136,16962,41.3,31.75,2.52,4.1,92.42,10.80169
1965,12,32.9205,17051,41.3,31.85,2.53,4.32,91.61,12.5131
1966,1,33.2406,17143,41.5,31.88,2.54,4.42,92.43,10.8483
1966,2,33.4541,17288,41.7,32.08,2.56,4.6,92.88,12.93325
1966,3,33.9076,17400,41.6,32.18,2.56,4.65,91.22,16.85739
